"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","num_reads_mat_mouse_1","num_reads_mat_mouse_2","num_reads_mat_mouse_4","num_reads_mat_mouse_7","num_reads_mat_mouse_8","num_reads_pat_mouse_1","num_reads_pat_mouse_2","num_reads_pat_mouse_4","num_reads_pat_mouse_7","num_reads_pat_mouse_8","total_reads_mouse_1","total_reads_mouse_2","total_reads_mouse_4","total_reads_mouse_7","total_reads_mouse_8","pct_xi_mouse_1","pct_xi_mouse_2","pct_xi_mouse_4","pct_xi_mouse_7","pct_xi_mouse_8","corrected_pct_xi_mouse_1","corrected_pct_xi_mouse_2","corrected_pct_xi_mouse_4","corrected_pct_xi_mouse_7","corrected_pct_xi_mouse_8","lower_confidence_interval_mouse_1","lower_confidence_interval_mouse_2","lower_confidence_interval_mouse_4","lower_confidence_interval_mouse_7","lower_confidence_interval_mouse_8","upper_confidence_interval_mouse_1","upper_confidence_interval_mouse_2","upper_confidence_interval_mouse_4","upper_confidence_interval_mouse_7","upper_confidence_interval_mouse_8"
"Ap1s2","ENSMUSG00000031367","MGP_CASTEiJ_G0035205","X","X",72,50,44,51,41,13,13,19,11,10,85,63,63,62,51,0.152941176470588,0.206349206349206,0.301587301587302,0.17741935483871,0.196078431372549,0.213653260031976,0.275157271198977,0.300809352418129,0.245959848552117,0.268502009238788,0.126516695080425,0.164878934651488,0.187563764986149,0.138763105423571,0.146871271275063,0.300789824983527,0.385435607746465,0.414054939850109,0.353156591680662,0.390132747202513
"Araf","ENSMUSG00000001127","MGP_CASTEiJ_G0034576","X","X",207,237,199,193,230,32,32,28,16,22,239,269,227,209,252,0.133891213389121,0.118959107806691,0.123348017621145,0.076555023923445,0.0873015873015873,0.18872601155834,0.164672877465694,0.122948901168927,0.111407072417537,0.125836282788345,0.139118345222341,0.120351701018777,0.0802309970364022,0.0687508143627881,0.0848869198779673,0.238333677894339,0.208994053912611,0.165666805301453,0.154063330472286,0.166785645698724
"Arhgap4","ENSMUSG00000031389","MGP_CASTEiJ_G0034786","X","X",21,29,30,41,47,11,4,6,4,1,32,33,36,45,48,0.34375,0.121212121212121,0.166666666666667,0.0888888888888889,0.0208333333333333,0.440790660381597,0.167626956435707,0.166153950295756,0.128574188013466,0.031026466361821,0.268771627398474,0.0401821756863345,0.0445647186667275,0.0307752949701987,-0.0180247281440762,0.61280969336472,0.29507173718508,0.287743181924785,0.226373081056733,0.0800776608677183
"Arhgap6","ENSMUSG00000031355","MGP_CASTEiJ_G0035233","X","X",89,145,67,121,83,28,24,12,9,19,117,169,79,130,102,0.239316239316239,0.142011834319527,0.151898734177215,0.0692307692307692,0.186274509803922,0.321309904686741,0.194627388372467,0.151423193281435,0.101113518723514,0.256231074300298,0.236693810958608,0.134936898314082,0.0723778437186244,0.0492892179338678,0.171511665050869,0.405925998414874,0.254317878430853,0.230468542844246,0.152937819513161,0.340950483549726
"Arhgef6","ENSMUSG00000031133","MGP_CASTEiJ_G0034712","X","X",100,133,71,140,123,34,32,31,23,20,134,165,102,163,143,0.253731343283582,0.193939393939394,0.303921568627451,0.141104294478528,0.13986013986014,0.338466317309704,0.259964811904448,0.303140211665591,0.199009717633184,0.196596893094519,0.258348446201429,0.193039625767696,0.21394480657464,0.137717539628173,0.131458783454563,0.41858418841798,0.326889998041201,0.392335616756542,0.260301895638195,0.261735002734476
"Armcx1","ENSMUSG00000033460","MGP_CASTEiJ_G0035039","X","X",44,57,26,62,66,27,31,17,12,18,71,88,43,74,84,0.380281690140845,0.352272727272727,0.395348837209302,0.162162162162162,0.214285714285714,0.480090675816836,0.442603551567308,0.394465631591915,0.226430986050513,0.291000035557334,0.363880447232756,0.338827701200656,0.248386611373796,0.131074619866499,0.193864514154904,0.596300904400915,0.54637940193396,0.540544651810033,0.321787352234527,0.388135556959765
"Armcx3","ENSMUSG00000049047","MGP_CASTEiJ_G0035041","X","X",37,56,20,53,69,29,36,46,62,39,66,92,66,115,108,0.439393939393939,0.391304347826087,0.696969696969697,0.539130434782609,0.361111111111111,0.541169396163858,0.484162554659028,0.696188499793665,0.638877505688743,0.459639515268028,0.420951554566019,0.382043635675922,0.585234835300266,0.551089488458335,0.36564842581223,0.661387237761698,0.586281473642133,0.807142164287063,0.726665522919152,0.553630604723827
"Atp11c","ENSMUSG00000062949","MGP_CASTEiJ_G0034721","X","X",100,95,85,75,100,8,7,8,10,10,108,102,93,85,110,0.0740740740740741,0.0686274509803922,0.0860215053763441,0.117647058823529,0.0909090909090909,0.107450154331942,0.0971320451223193,0.0857313548092937,0.167806986378961,0.130807914654208,0.0490443546358,0.0396620194499911,0.0288312098042239,0.0883639783472108,0.067795424720036,0.165855954028083,0.154602070794647,0.142631499814364,0.247249994410711,0.193820404588379
"Atp6ap2","ENSMUSG00000031007","MGP_CASTEiJ_G0034546","X","X",613,682,457,669,701,33,47,32,45,49,646,729,489,714,750,0.0510835913312693,0.0644718792866941,0.065439672801636,0.0630252100840336,0.0653333333333333,0.0749390831652053,0.0914198657763308,0.065213991342017,0.0923336236065841,0.0951825407122037,0.0546355702485442,0.0704986829376517,0.0433303215012977,0.071099123140496,0.0741797699604826,0.0952425960818664,0.11234104861501,0.0870976611827363,0.113568124072672,0.116185311463925
"Atp7a","ENSMUSG00000033792","MGP_CASTEiJ_G0034965","X","X",56,86,84,113,88,17,20,32,17,8,73,106,116,130,96,0.232876712328767,0.188679245283019,0.275862068965517,0.130769230769231,0.0833333333333333,0.313573579156084,0.253477016467066,0.275124337908406,0.185348673708273,0.120347412785691,0.207146194931266,0.170666395121996,0.193857125910969,0.118551660960857,0.0552615830371353,0.420000963380903,0.336287637812136,0.356391549905842,0.252145686455689,0.185433242534247
"Atrx","ENSMUSG00000031229","MGP_CASTEiJ_G0034962","X","X",676,777,665,873,973,142,198,229,192,233,818,975,894,1065,1206,0.17359413202934,0.203076923076923,0.256152125279642,0.180281690140845,0.193200663349917,0.240180044633701,0.271166646195998,0.255448510003333,0.249592437809216,0.264911570235322,0.210905156280206,0.243261902516604,0.226860864564429,0.223600563418035,0.240006102975871,0.269454932987196,0.299071389875391,0.284036155442236,0.275584312200397,0.289817037494774
"AU015836","ENSMUSG00000081044","MGP_CASTEiJ_G0034870","X","X",1,0,1,4,1,3,6,5,6,0,4,6,6,10,1,0.75,1,0.833333333333333,0.6,0,0.818658589037647,1,0.832819352034618,0.694049116946741,0,0.441070747052376,1,0.534252992998034,0.40844198405124,0,1.19624643102292,1,1.1313857110712,0.979656249842242,0
"BC065397","ENSMUSG00000087368","MGP_CASTEiJ_G0015110","X","X",14,16,21,15,19,7,5,4,1,6,21,21,25,16,25,0.333333333333333,0.238095238095238,0.16,0.0625,0.24,0.429357297950769,0.313310172005262,0.159503866832226,0.0915880505664176,0.322145662350799,0.217652840623991,0.11492646636254,0.0159775452263848,-0.0497466901478156,0.138968038793688,0.641061755277547,0.511693877647984,0.303030188438068,0.232922791280651,0.505323285907911
"Bcap31","ENSMUSG00000002015","MGP_CASTEiJ_G0034778","X","X",445,564,293,652,709,196,276,192,29,33,641,840,485,681,742,0.305772230889236,0.328571428571429,0.395876288659794,0.0425844346549192,0.0444743935309973,0.398603735284607,0.416734875177636,0.394992674467767,0.063026738738661,0.0654611068227069,0.360701037601557,0.383394431412796,0.351486383610509,0.0447751551582122,0.0476645288953218,0.436506432967657,0.450075318942475,0.438498965325026,0.0812783223191099,0.0832576847500921
"Bcor","ENSMUSG00000040363","MGP_CASTEiJ_G0034545","X","X",222,308,183,365,312,42,39,33,38,53,264,347,216,403,365,0.159090909090909,0.112391930835735,0.152777777777778,0.0942928039702233,0.145205479452055,0.221605546496389,0.156028984390806,0.152299979101853,0.136030522979005,0.203597391126153,0.171505710183773,0.117847767979248,0.104382690642294,0.102559965060139,0.162287495265055,0.271705382809005,0.194210200802363,0.200217267561412,0.169501080897871,0.24490728698725
"Bcorl1","ENSMUSG00000036959","MGP_CASTEiJ_G0034655","X","X",52,52,30,38,40,3,10,7,5,6,55,62,37,43,46,0.0545454545454545,0.161290322580645,0.189189189189189,0.116279069767442,0.130434782608696,0.0798815067452791,0.219223555845359,0.188622869530286,0.165965449214444,0.184166644615785,0.00823224002044799,0.116242057512554,0.062569115506498,0.0547629040907039,0.0721518487547201,0.15153077347011,0.322205054178164,0.314676623554075,0.277167994338185,0.296181440476849
"Bex1","ENSMUSG00000050071","MGP_CASTEiJ_G0035064","X","X",13,6,3,66,62,67,99,76,36,54,80,105,79,102,116,0.8375,0.942857142857143,0.962025316455696,0.352941176470588,0.46551724137931,0.885787527571284,0.960144453012573,0.96189005708624,0.452027333637946,0.567240335288777,0.816088832922595,0.922727698288213,0.919670233698818,0.355442307534209,0.477077816280555,0.955486222219972,0.997561207736934,1.00410988047366,0.548612359741683,0.657402854296999
