"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","rpm_mouse_1_female_mat_bl6","rpm_mouse_2_female_mat_bl6","rpm_mouse_4_female_mat_bl6","rpm_mouse_7_male_mat_bl6","rpm_mouse_8_male_mat_bl6","rpm_mouse_1_female_pat_cast","rpm_mouse_2_female_pat_cast","rpm_mouse_4_female_pat_cast","rpm_mouse_7_male_pat_cast","rpm_mouse_8_male_pat_cast","exon_length_mat","exon_length_pat","rpkm_mouse_1_female_mat_bl6","rpkm_mouse_2_female_mat_bl6","rpkm_mouse_4_female_mat_bl6","rpkm_mouse_7_male_mat_bl6","rpkm_mouse_8_male_mat_bl6","rpkm_mouse_1_female_pat_cast","rpkm_mouse_2_female_pat_cast","rpkm_mouse_4_female_pat_cast","rpkm_mouse_7_male_pat_cast","rpkm_mouse_8_male_pat_cast","female_xa_mean_rpkm","female_xi_mean_rpkm","male_xa_mean_rpkm","male_xi_mean_rpkm","female_mean_rpkm","male_mean_rpkm","female_xa_mean_srpm","female_xi_mean_srpm","male_xa_mean_srpm","male_xi_mean_srpm","female_mean_srpm_xi_over_xa_ratio","female_mean_rpkm_gt_1","male_mean_rpkm_gt_1","female_xi_mean_srpm_gte_2"
"Pls3","ENSMUSG00000016382","MGP_CASTEiJ_G0034828","X","X",191.015007061292,201.976111546602,193.782155225912,290.765678547969,294.838488309397,159.89585106372,138.431886187692,144.371896744167,31.9032768455809,42.2262880199001,4091,4238,46.6915196923228,49.3708412482528,47.3679186570306,71.0744753233852,72.0700289194321,37.7290823652006,32.6644375147929,34.0660445361414,7.52790864690441,9.96373006604533,47.8100931992021,34.8198548053783,71.5722521214087,8.74581935647487,82.6299480045804,80.3180714778835,1955.91091277936,1475.66544665193,2928.02083428683,370.647824327405,0.754464550000902,1,1,1
"Plxna3","ENSMUSG00000031398","MGP_CASTEiJ_G0034804","X","X",11.102213525172,12.9140736282994,11.2105379056313,13.480954187224,13.2346453605215,1.37544818119329,3.04245903709214,1.64432684218869,0,0.885866182235666,7913,7880,1.40303469293214,1.63200728273719,1.41672411293205,1.70364642831088,1.67251931764458,0.174549261572753,0.386098862575145,0.208670919059479,0,0.112419566273562,1.48392202953379,0.256439681069125,1.68808287297773,0.0562097831367809,1.74036171060292,1.74429265611451,117.422750197009,20.2074468682471,133.577997738728,4.42933091117833,0.172091411880096,1,1,1
"Pola1","ENSMUSG00000006678","MGP_CASTEiJ_G0034867","X","X",11.6715578085141,5.94047386901772,10.8101615518587,8.98730279148268,11.028871133768,4.4702065888782,2.43396722967371,4.60411515812834,5.05398445078509,4.72461963859022,8486,8813,1.37538979595972,0.700032273040033,1.27388187035809,1.05907409751151,1.29965485903464,0.507228706329081,0.27617919320024,0.522423142871705,0.573469244387279,0.536096634357225,1.11643464645261,0.435277014133675,1.17936447827308,0.554782939372252,1.55171166058629,1.73414741764533,94.7406440979687,38.3609632556008,100.080869626253,48.8930204468765,0.404905029101689,1,1,1
"Praf2","ENSMUSG00000031149","MGP_CASTEiJ_G0034504","X","X",35.5840177088846,44.6826947539159,28.0263447640782,76.3920737276028,73.525807558453,26.4773774879708,31.0330821783398,22.3628450537662,38.8525054654104,46.9509076584903,1076,1339,33.0706484283314,41.5266679869107,26.0467888141991,70.996351047958,68.3325349056255,19.7739936429954,23.1763123064524,16.7011538863078,29.0160608404857,35.0641580720615,33.5480350764804,19.8838199452519,69.6644429767917,32.0401094562736,53.4318550217323,101.704552433065,360.976857422929,266.244349066923,749.589406430279,429.017065619503,0.737566255542484,1,1,1
"Prdx4","ENSMUSG00000025289","MGP_CASTEiJ_G0035170","X","X",56.3650840508732,44.6826947539159,42.8402698536624,55.5098113591577,62.0067643742954,3.78248249828155,4.259442651929,4.60411515812834,2.84286625356661,6.20106327564966,2131,2106,26.4500629051493,20.9679468577738,20.1033645488796,26.0487148564795,29.0974961869054,1.79605056898459,2.02252737508499,2.18618953377414,1.34988900929089,2.94447448986214,22.5071247706009,2.00158915928124,27.5731055216924,2.14718174957651,24.5087139298821,29.7202872712689,479.626828861505,42.1534676944629,587.582878667266,45.2196476460814,0.0878880520393804,1,1,1
"Prickle3","ENSMUSG00000031145","MGP_CASTEiJ_G0034498","X","X",19.6423777753043,24.7950213663348,22.02069945749,15.8599461026165,21.8126562423411,3.0947584076849,4.259442651929,2.95978831593964,5.36985847895916,6.20106327564966,4890,4902,4.01684617081887,5.07055651663289,4.5032105230041,3.24334276127127,4.46066589822926,0.631325664562404,0.868919349638718,0.603791986115798,1.09544236616874,1.26500678817823,4.53020440348529,0.701345666772307,3.85200432975026,1.18022457717348,5.23155007025759,5.03222890692374,221.526995330431,34.3799645851785,188.363011724788,57.8546087730441,0.155195372617668,1,1,1
"Prkx","ENSMUSG00000035725","MGP_CASTEiJ_G0034838","X","X",31.5986077254895,41.84159855569,50.8477969291134,36.2135436009743,33.8218714768884,9.28427522305471,13.9953115706238,13.4834801059473,10.1079689015702,12.6974152787112,5707,5807,5.53681579209559,7.33162757240056,8.90972436115531,6.34546059242585,5.92638364760617,1.59880751214994,2.41007604109245,2.32193561321634,1.7406524714259,2.18657056633567,7.25938924188382,2.11027305548624,6.13592212001601,1.96361151888078,9.36966229737006,8.09953363889679,414.29334403431,122.543556332086,350.177075389314,114.026920901407,0.295789343702171,1,1,1
"Prps1","ENSMUSG00000031432","MGP_CASTEiJ_G0035102","X","X",52.9490183508203,51.9145759857635,45.2425279762977,53.1308194437653,45.0958286358512,10.3158613589497,11.5613443409501,8.87936494781893,9.47622084522204,10.0398167320042,1993,1993,26.5674954093428,26.0484575944624,22.7007164958845,26.6587152251707,22.627109200126,5.17604684342683,5.80097558502264,4.45527593969841,4.75475205480283,5.03753975514512,25.1055564998966,5.1440994560493,24.6429122126484,4.89614590497397,30.2496559559459,29.5390581176224,500.353741042938,102.521902159062,491.133240398082,97.5801878861313,0.204898842057952,1,1,1
"Prps2","ENSMUSG00000025742","MGP_CASTEiJ_G0035230","X","X",288.657551654472,333.44138108269,426.000440413989,357.113119743915,305.867359443165,85.277787233984,77.2784595421403,106.552379373827,91.9193421986538,90.9489280428618,3881,3873,74.3771068421726,85.9163568880933,109.765637828907,92.0157484524387,78.8114814334359,22.0185353044111,19.9531266568914,27.5115877546675,23.73337004871,23.48281126849,90.0197005197244,23.1610832386566,85.4136149429373,23.6080906586,113.180783758381,109.021705601537,3493.6645771705,897.028753833172,3314.9023959354,914.341351207578,0.256758693921232,1,1,1
"Prrg1","ENSMUSG00000047996","MGP_CASTEiJ_G0034844","X","X",10.8175413835009,8.26500712211161,9.60903249054111,3.70065409061052,6.86240870545562,5.50179272477316,4.259442651929,5.59071126344155,3.15874028174068,5.315197093414,10720,11614,1.00909900965494,0.770989470346232,0.896364971132566,0.345210269646503,0.640150065807427,0.473720744340724,0.366750701905372,0.481376895422899,0.271976948660296,0.457654304581884,0.892151150377911,0.440616113889665,0.492680167726965,0.36481562662109,1.33276726426758,0.857495794348055,95.6386033205121,51.1731554671457,52.8153139803307,42.3696868757734,0.535067992321573,1,0,1
