"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","female_mean_rpkm","male_mean_rpkm","female_xi_mean_srpm","female_xa_mean_srpm","male_xa_mean_srpm","male_xi_mean_srpm","female_mean_srpm_xi_over_xa_ratio","female_mean_rpkm_gt_1","male_mean_rpkm_gt_1","female_xi_mean_srpm_gte_2"
"Cd99l2","ENSMUSG00000035776","MGP_CASTEiJ_G0034748","X","X",18.6007657346588,16.5696576350203,60.2684566188623,850.325088760239,786.570360822188,24.5494367272492,0.0708769591953741,1,1,1
"Cdk16","ENSMUSG00000031065","MGP_CASTEiJ_G0034574","X","X",17.7573609985128,15.9216663352131,113.001893282869,664.87065814698,630.357228520462,67.1249766106444,0.169960716265942,1,1,1
"Cdkl5","ENSMUSG00000031292","MGP_CASTEiJ_G0035192","X","X",4.06798343641049,1.9052956874498,85.7070483467287,495.887685954216,235.821031469198,36.5668388313465,0.172835605267766,1,1,1
"Cetn2","ENSMUSG00000031347","MGP_CASTEiJ_G0034761","X","X",5.53474585834845,5.14062291256062,13.9583990292059,59.5682935132414,53.7776344727689,14.9702893782162,0.234325984612991,1,1,1
"Cfp","ENSMUSG00000001128","MGP_CASTEiJ_G0034579","X","X",3.99501979296211,3.97994578652696,10.5518545357825,58.8355610107482,52.2635081990632,16.8584390305192,0.17934484441909,1,1,1
"Chm","ENSMUSG00000025531","MGP_CASTEiJ_G0035000","X","X",2.97084598213411,2.22416606790895,23.7281322036587,178.58632238549,142.444704768278,9.06451482997848,0.132866458565847,1,1,1
"Clcn5","ENSMUSG00000004317","MGP_CASTEiJ_G0034491","X","X",5.60146833569814,6.08679237566131,147.210228169075,495.651050121657,579.152272863081,119.520989434401,0.297003765316229,1,1,1
"Col4a5","ENSMUSG00000031274","MGP_CASTEiJ_G0035111","X","X",19.8959116241318,11.4206610167819,168.783010499228,1167.99816752939,683.461238648524,83.8804891373527,0.144506228855005,1,1,1
"Col4a6","ENSMUSG00000031273","MGP_CASTEiJ_G0035110","X","X",3.17374542050319,1.37408241088342,31.2092017098472,221.722228294783,98.7592074510354,10.7468114746597,0.14075810959447,1,1,1
"Ctps2","ENSMUSG00000031360","MGP_CASTEiJ_G0035201","X","X",13.998105968339,14.8225338928247,74.126877802331,587.32938117942,629.176857415341,71.24552801039,0.126210062322229,1,1,1
"Cul4b","ENSMUSG00000031095","MGP_CASTEiJ_G0034630","X","X",3.01035395259635,2.99231578708581,92.7302944955022,24.5938473125508,89.7962683722402,28.7729146308058,3.77046719519072,1,1,1
"Ddx3x","ENSMUSG00000000787","MGP_CASTEiJ_G0034550","X","X",299.753840278689,316.121172221743,1308.51689854471,10580.3543750989,11921.1312559361,333.530880393297,0.123674203354127,1,1,1
"Diaph2","ENSMUSG00000034480","MGP_CASTEiJ_G0035018","X","X",3.7378894558119,2.76393433693436,324.754010344324,108.752772276623,213.859521250906,108.738705376035,2.98616764930168,1,1,1
"Dkc1","ENSMUSG00000031403","MGP_CASTEiJ_G0034818","X","X",4.15580165676138,4.57660354327638,12.7801162519851,157.942074832585,177.455959154459,10.5409584670379,0.0809164769142847,1,1,1
"Dlg3","ENSMUSG00000000881","MGP_CASTEiJ_G0034913","X","X",15.9657291620119,13.8886779501139,532.678845471022,400.084336389563,315.743213298596,495.694863631198,1.33141639654783,1,1,1
"Dnase1l1","ENSMUSG00000019088","MGP_CASTEiJ_G0034799","X","X",18.0020561628145,14.5864208884039,25.9705569161123,352.833084953785,285.441215317825,21.4936229493193,0.073605787052294,1,1,1
"Dusp9","ENSMUSG00000031383","MGP_CASTEiJ_G0034775","X","X",0.762426380350531,1.04911199907468,6.67728521449198,14.091474408457,17.8296461083458,10.7468114746597,0.473852843282647,0,1,1
"Dynlt3","ENSMUSG00000031176","MGP_CASTEiJ_G0034536","X","X",147.94523714622,164.079412441369,131.445141736982,2075.50229614457,2335.86999028425,85.459859278223,0.0633317255206862,1,1,1
"Ebp","ENSMUSG00000031168","MGP_CASTEiJ_G0034526","X","X",24.4987093840933,27.3692662778001,76.8231643464007,488.038370862461,559.56486335415,71.4513810180118,0.157412139973009,1,1,1
"Efnb1","ENSMUSG00000031217","MGP_CASTEiJ_G0034899","X","X",40.3575833507042,30.1060891006559,87.3275199369105,1303.92486645841,951.701373181856,86.1803448048992,0.066972815829566,1,1,1
"Egfl6","ENSMUSG00000000402","MGP_CASTEiJ_G0035226","X","X",655.699044222316,757.15277098792,2136.94258523535,15443.2253438963,17884.1313286531,2415.64725586362,0.138374111472766,1,1,1
"Eif1ax","ENSMUSG00000067194","MGP_CASTEiJ_G0035182","X","X",24.2338520313319,20.3882286495521,176.821851207241,1123.7577753463,909.934402841952,183.487225763305,0.157348723262673,1,1,1
"Eif2s3x","ENSMUSG00000035150","MGP_CASTEiJ_G0034872","X","X",15.5455777184242,8.21885393625069,403.48467681133,190.154552651862,149.726639989076,164.396384985343,2.12187755267704,1,1,1
"Elf4","ENSMUSG00000031103","MGP_CASTEiJ_G0034656","X","X",2.70955388639276,1.47288595609786,46.4279483987024,120.272687475439,75.4504485433295,15.176142385838,0.38602237443296,1,1,1
"Elk1","ENSMUSG00000009406","MGP_CASTEiJ_G0034580","X","X",3.5830772320695,3.10635413318495,49.5807983107249,143.224587546935,123.100932386227,44.0519835204547,0.34617518653686,1,1,1
"Emd","ENSMUSG00000001964","MGP_CASTEiJ_G0034797","X","X",13.2786064126784,9.48368924588464,55.3297453623391,218.7263980375,150.182213721099,47.2107238021953,0.252963272192014,1,1,1
"Enox2","ENSMUSG00000031109","MGP_CASTEiJ_G0034664","X","X",3.86658847015129,3.65510711238075,16.4970073118134,151.931586447977,135.284588110922,23.9318777043838,0.108581814338272,1,1,1
"F8a","ENSMUSG00000078317","MGP_CASTEiJ_G0034768","X","X",3.52474367797542,2.45606234684892,9.76973317445276,78.0862331470855,59.7123210041523,1.47644363705944,0.125114668497969,1,1,1
"Fam120c","ENSMUSG00000025262","MGP_CASTEiJ_G0035143","X","X",1.8450006585276,1.45176509630343,13.2725055465556,94.1618827995067,62.8368056008076,21.6994759569412,0.140954122325867,1,1,1
"Fam122b","ENSMUSG00000036022","MGP_CASTEiJ_G0034685","X","X",1.22953184117211,0.739145585849667,5.36694863197409,48.798798056377,27.8255512146271,4.73811042261102,0.109981164408469,1,0,1
"Fam199x","ENSMUSG00000042595","MGP_CASTEiJ_G0035081","X","X",5.57480816702475,4.20693572892784,90.0200565139225,363.383670388429,248.389615390867,94.4214476043906,0.247727302709277,1,1,1
"Fam3a","ENSMUSG00000031399","MGP_CASTEiJ_G0034808","X","X",25.2440243837331,24.5184423648013,172.146017573177,455.351154555091,569.2720723127,40.2402116321417,0.378051127906716,1,1,1
"Fam50a","ENSMUSG00000001962","MGP_CASTEiJ_G0034803","X","X",24.7961249736894,24.0396046141725,486.71705723583,79.9840474248927,73.8656767345755,475.574757815127,6.08517664341594,1,1,1
"Fancb","ENSMUSG00000047757","MGP_CASTEiJ_G0035218","X","X",2.08650442515264,3.70681910622395,20.7856510123038,41.2649205849479,86.2162100435615,24.1377307120056,0.50371237161391,1,1,1
"Fhl1","ENSMUSG00000023092","MGP_CASTEiJ_G0034705","X","X",6.88792594052342,1.52880334762241,45.1817637353041,219.029478082103,36.6922582441782,21.4936229493193,0.206281657295315,1,1,1
"Flna","ENSMUSG00000031328","MGP_CASTEiJ_G0034796","X","X",43.2927575344141,55.1413463898447,626.742611027611,3446.55415127611,4535.77452362129,651.438439801806,0.181846152278082,1,1,1
