"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","num_reads_mouse_1_female_mat_bl6","num_reads_mouse_2_female_mat_bl6","num_reads_mouse_4_female_mat_bl6","num_reads_mouse_7_male_mat_bl6","num_reads_mouse_8_male_mat_bl6","num_reads_mouse_1_female_pat_cast","num_reads_mouse_2_female_pat_cast","num_reads_mouse_4_female_pat_cast","num_reads_mouse_7_male_pat_cast","num_reads_mouse_8_male_pat_cast"
"Asb12","ENSMUSG00000031204","X","MGP_CASTEiJ_G0034882","X",0,0,0,0,0,0,0,0,0,0
"Asb9","ENSMUSG00000031384","X","MGP_CASTEiJ_G0035216","X",0,0,0,0,0,0,0,0,0,0
"Atp11c","ENSMUSG00000062949","X","MGP_CASTEiJ_G0034721","X",100,95,85,75,100,8,7,8,10,10
"Atp1b4","ENSMUSG00000016327","X","MGP_CASTEiJ_G0034627","X",0,0,0,0,0,0,0,0,0,0
"Atp2b3","ENSMUSG00000031376","X","MGP_CASTEiJ_G0034774","X",0,0,1,1,0,0,0,0,0,0
"Atp6ap1","ENSMUSG00000019087","X","MGP_CASTEiJ_G0034801","X",3,5,25,2,5,3,1,5,1,0
"Atp6ap2","ENSMUSG00000031007","X","MGP_CASTEiJ_G0034546","X",613,682,457,669,701,33,47,32,45,49
"Atp7a","ENSMUSG00000033792","X","MGP_CASTEiJ_G0034965","X",56,86,84,113,88,17,20,32,17,8
"Atrx","ENSMUSG00000031229","X","MGP_CASTEiJ_G0034962","X",676,777,665,873,973,142,198,229,192,233
"AU015836","ENSMUSG00000081044","X","MGP_CASTEiJ_G0034870","X",1,0,1,4,1,3,6,5,6,0
"Avpr2","ENSMUSG00000031390","X","MGP_CASTEiJ_G0034787","X",0,0,0,0,0,0,0,0,0,0
"Awat1","ENSMUSG00000015665","X","MGP_CASTEiJ_G0034907","X",0,0,0,0,0,0,0,0,0,0
"Awat2","ENSMUSG00000031220","X","MGP_CASTEiJ_G0034903","X",2,4,4,8,5,0,0,0,0,1
"B230119M05Rik","ENSMUSG00000087024","X","MGP_CASTEiJ_G0015104","X",0,0,0,0,0,0,0,0,0,0
"B630019K06Rik","ENSMUSG00000052364","X","MGP_CASTEiJ_G0034530","X",84,75,46,83,102,6,3,2,5,9
"BC065397","ENSMUSG00000087368","X","MGP_CASTEiJ_G0015110","X",14,16,21,15,19,7,5,4,1,6
"Bcap31","ENSMUSG00000002015","X","MGP_CASTEiJ_G0034778","X",445,564,293,652,709,196,276,192,29,33
"Bcor","ENSMUSG00000040363","X","MGP_CASTEiJ_G0034545","X",222,308,183,365,312,42,39,33,38,53
"Bcorl1","ENSMUSG00000036959","X","MGP_CASTEiJ_G0034655","X",52,52,30,38,40,3,10,7,5,6
"Bex1","ENSMUSG00000050071","X","MGP_CASTEiJ_G0035064","X",13,6,3,66,62,67,99,76,36,54
"Bex2","ENSMUSG00000042750","X","MGP_CASTEiJ_G0035060","X",223,267,338,537,542,25,22,50,43,52
"Bex4","ENSMUSG00000047844","X","MGP_CASTEiJ_G0017657","11",203,141,124,767,693,75,82,79,64,75
"Bgn","ENSMUSG00000031375","X","MGP_CASTEiJ_G0034773","X",54,43,22,24,29,8,2,6,3,0
"Bhlhb9","ENSMUSG00000072964","X","MGP_CASTEiJ_G0035057","X",46,60,58,52,71,5,12,4,3,3
"Bmp15","ENSMUSG00000023279","X","MGP_CASTEiJ_G0034486","X",0,0,0,0,0,0,0,0,0,0
"Bmx","ENSMUSG00000031377","X","MGP_CASTEiJ_G0035211","X",0,0,1,1,1,0,0,0,0,0
"Brcc3","ENSMUSG00000031201","X","MGP_CASTEiJ_G0034825","X",73,81,60,99,108,35,35,22,29,36
"Brs3","ENSMUSG00000031130","X","MGP_CASTEiJ_G0034708","X",0,0,0,0,0,0,0,0,0,0
"Brwd3","ENSMUSG00000063663","X","MGP_CASTEiJ_G0034983","X",170,242,186,275,323,23,27,15,17,29
"Btk","ENSMUSG00000031264","X","MGP_CASTEiJ_G0035035","X",0,0,0,0,0,0,0,0,0,0
"C1galt1c1","ENSMUSG00000048970","X","MGP_CASTEiJ_G0034632","X",4,2,7,1,5,0,0,0,0,0
"C430049B03Rik","ENSMUSG00000087365","X","MGP_CASTEiJ_G0015092","X",2,4,1,2,2,1,3,6,1,2
"Cacna1f","ENSMUSG00000031142","X","MGP_CASTEiJ_G0034496","X",0,0,0,1,1,0,0,0,0,0
"Capn6","ENSMUSG00000067276","X","MGP_CASTEiJ_G0035123","X",7,5,5,9,21,2,0,4,0,6
"Car5b","ENSMUSG00000031373","X","MGP_CASTEiJ_G0035207","X",40,45,30,33,27,16,13,4,8,6
"Cask","ENSMUSG00000031012","X","MGP_CASTEiJ_G0034552","X",361,363,283,389,415,57,62,35,35,44
