"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","num_reads_mouse_1_female_mat_bl6","num_reads_mouse_2_female_mat_bl6","num_reads_mouse_4_female_mat_bl6","num_reads_mouse_7_male_mat_bl6","num_reads_mouse_8_male_mat_bl6","num_reads_mouse_1_female_pat_cast","num_reads_mouse_2_female_pat_cast","num_reads_mouse_4_female_pat_cast","num_reads_mouse_7_male_pat_cast","num_reads_mouse_8_male_pat_cast"
"Mir298","ENSMUSG00000065410","2","MGP_CASTEiJ_G0008393","2",0,0,0,0,0,0,0,0,0,0
"Mir299a","ENSMUSG00000106653","12","MGP_CASTEiJ_G0007788","12",0,0,0,0,0,0,0,0,0,0
"Mir299b","ENSMUSG00000093291","12","MGP_CASTEiJ_G0007789","12",0,0,0,0,0,0,0,0,0,0
"Mir29a","ENSMUSG00000065610","6","MGP_CASTEiJ_G0008647","6",0,0,0,0,0,0,0,0,1,0
"Mir29b-1","ENSMUSG00000065604","6","MGP_CASTEiJ_G0008648","6",0,0,0,0,0,0,0,0,0,0
"Mir29b-2","ENSMUSG00000065412","1","MGP_CASTEiJ_G0007511","1",0,0,0,0,0,0,0,0,0,0
"Mir29c","ENSMUSG00000065548","1","MGP_CASTEiJ_G0007512","1",0,0,0,0,0,0,0,0,0,0
"Mir300","ENSMUSG00000098807","12","MGP_CASTEiJ_G0007808","12",0,0,0,0,0,0,0,0,0,0
"Mir301","ENSMUSG00000065589","11","MGP_CASTEiJ_G0007669","11",0,0,0,0,0,0,0,0,0,0
"Mir301b","ENSMUSG00000076288","16","MGP_CASTEiJ_G0008037","16",0,0,0,0,0,0,0,0,0,0
"Mir302a","ENSMUSG00000065552","3","MGP_CASTEiJ_G0008452","3",0,1,0,0,0,0,0,0,0,0
"Mir302b","ENSMUSG00000076252","3","MGP_CASTEiJ_G0008450","3",1,0,0,1,0,0,0,0,0,0
"Mir302c","ENSMUSG00000065482","3","MGP_CASTEiJ_G0008451","3",0,0,0,0,0,0,0,0,0,0
"Mir302d","ENSMUSG00000065447","3","MGP_CASTEiJ_G0008453","3",0,0,0,0,0,0,0,0,0,0
"Mir3057","ENSMUSG00000092781","10","MGP_CASTEiJ_G0007549","10",0,0,0,0,0,0,0,0,0,0
"Mir3058","ENSMUSG00000092867","10","MGP_CASTEiJ_G0007562","10",0,2,1,1,4,0,1,2,1,0
"Mir3059","ENSMUSG00000092952","10","MGP_CASTEiJ_G0007565","10",0,0,0,0,0,0,0,0,0,0
"Mir3060","ENSMUSG00000093080","11","MGP_CASTEiJ_G0007590","11",0,12,0,4,1,2,1,11,2,2
"Mir3061","ENSMUSG00000092870","11","MGP_CASTEiJ_G0007619","11",0,0,0,0,0,0,0,0,0,0
"Mir3062","ENSMUSG00000092727","11","MGP_CASTEiJ_G0007635","11",0,0,0,0,0,0,0,0,0,0
"Mir3063","ENSMUSG00000093358","11","MGP_CASTEiJ_G0007674","11",0,0,0,0,0,0,0,0,0,0
"Mir3064","ENSMUSG00000093273","11","MGP_CASTEiJ_G0007698","11",0,0,0,0,0,40,41,44,18,43
"Mir3065","ENSMUSG00000105524","11","MGP_CASTEiJ_G0007713","11",0,0,0,0,0,0,0,0,0,0
"Mir3066","ENSMUSG00000093037","12","MGP_CASTEiJ_G0007722","12",0,0,0,0,0,0,0,0,0,0
"Mir3067","ENSMUSG00000092673","12","MGP_CASTEiJ_G0007747","12",0,0,0,0,0,0,0,0,0,0
"Mir3068","ENSMUSG00000105428","12","MGP_CASTEiJ_G0037436","12",0,0,0,0,0,0,0,0,0,0
"Mir3069","ENSMUSG00000106366","12","MGP_CASTEiJ_G0007759","12",0,0,0,0,0,0,0,0,0,0
"Mir3071","ENSMUSG00000070129","12","MGP_CASTEiJ_G0007779","12",0,0,0,0,0,0,0,0,0,0
"Mir3072","ENSMUSG00000093351","12","MGP_CASTEiJ_G0007829","12",0,0,1,0,0,0,0,0,0,0
"Mir3073a","ENSMUSG00000093090","12","MGP_CASTEiJ_G0007832","12",0,0,0,0,0,0,0,0,0,0
"Mir3073b","ENSMUSG00000106228","12","MGP_CASTEiJ_G0007833","12",0,0,0,0,0,0,0,0,0,0
"Mir3074-1","ENSMUSG00000092741","13","MGP_CASTEiJ_G0007878","13",0,0,0,0,0,0,0,0,0,0
"Mir3074-2","ENSMUSG00000105458","8","MGP_CASTEiJ_G0008867","8",0,0,0,0,0,0,0,0,0,0
"Mir3075","ENSMUSG00000093081","14","MGP_CASTEiJ_G0007900","14",0,0,0,1,0,0,0,0,0,0
"Mir3076","ENSMUSG00000093156","14","MGP_CASTEiJ_G0007905","14",0,0,0,0,0,0,0,0,0,0
"Mir3077","ENSMUSG00000092784","14","MGP_CASTEiJ_G0007916","14",0,0,0,0,0,0,0,0,0,0
"Mir3078","ENSMUSG00000092972","14","MGP_CASTEiJ_G0007924","14",0,0,0,0,0,0,0,0,0,0
"Mir3079","ENSMUSG00000093169","15","MGP_CASTEiJ_G0007978","15",0,0,0,0,0,0,0,0,0,0
"Mir3080","ENSMUSG00000092751","15","MGP_CASTEiJ_G0007996","15",0,0,0,0,0,0,0,0,0,0
"Mir3081","ENSMUSG00000093046","16","MGP_CASTEiJ_G0008062","16",0,0,0,0,0,0,0,0,0,0
"Mir3082","ENSMUSG00000093076","17","MGP_CASTEiJ_G0008099","17",0,0,0,0,0,0,0,0,0,0
"Mir3083","ENSMUSG00000093118","17","MGP_CASTEiJ_G0008103","17",0,0,0,0,0,0,0,0,0,0
"Mir3085","ENSMUSG00000093234","19","MGP_CASTEiJ_G0008222","19",0,0,0,0,0,0,0,0,0,0
"Mir3086","ENSMUSG00000092813","19","MGP_CASTEiJ_G0008234","19",0,0,0,0,0,0,0,0,0,0
"Mir3087","ENSMUSG00000104741","2","MGP_CASTEiJ_G0008290","2",0,0,0,0,0,0,0,0,0,0
"Mir3088","ENSMUSG00000092832","2","MGP_CASTEiJ_G0008296","2",0,0,0,0,0,0,0,0,0,0
"Mir3089","ENSMUSG00000093091","2","MGP_CASTEiJ_G0008302","2",1,0,0,0,0,0,0,0,0,0
"Mir3090","ENSMUSG00000093338","2","MGP_CASTEiJ_G0008366","2",0,0,0,0,0,0,0,0,0,0
"Mir3091","ENSMUSG00000092827","2","MGP_CASTEiJ_G0008395","2",1,0,0,0,0,0,2,0,0,0
"Mir3092","ENSMUSG00000092695","3","MGP_CASTEiJ_G0008403","3",0,0,0,1,0,0,0,0,0,2
"Mir3093","ENSMUSG00000092988","3","MGP_CASTEiJ_G0008424","3",0,0,0,0,0,0,0,0,0,0
"Mir3094","ENSMUSG00000092862","4","MGP_CASTEiJ_G0008478","4",0,0,0,0,0,0,0,0,0,0
"Mir3095","ENSMUSG00000093293","4","MGP_CASTEiJ_G0008486","4",0,0,0,0,0,0,0,0,0,0
"Mir3097","ENSMUSG00000093097","5","MGP_CASTEiJ_G0008564","5",0,0,0,0,0,0,0,0,0,0
"Mir3098","ENSMUSG00000093157","6","MGP_CASTEiJ_G0008696","6",0,0,0,0,0,0,0,0,0,0
"Mir3099","ENSMUSG00000092815","7","MGP_CASTEiJ_G0008720","7",0,0,0,0,0,0,0,0,0,0
"Mir30a","ENSMUSG00000065405","1","MGP_CASTEiJ_G0007416","1",0,0,0,0,0,0,0,0,0,0
"Mir30b","ENSMUSG00000065476","15","MGP_CASTEiJ_G0007971","15",0,0,0,0,0,0,0,0,0,0
"Mir30c-1","ENSMUSG00000065490","4","MGP_CASTEiJ_G0008505","4",0,0,0,0,0,0,0,0,0,0
"Mir30c-2","ENSMUSG00000065567","1","MGP_CASTEiJ_G0007417","1",0,0,0,0,0,0,0,0,0,0
"Mir30d","ENSMUSG00000065437","15","MGP_CASTEiJ_G0007972","15",0,0,0,0,0,0,0,0,0,0
"Mir31","ENSMUSG00000065408","4","MGP_CASTEiJ_G0008492","4",0,0,0,0,0,0,0,0,0,0
"Mir3100","ENSMUSG00000092659","7","MGP_CASTEiJ_G0008723","7",0,1,0,1,2,0,4,0,1,3
"Mir3101","ENSMUSG00000093348","7","MGP_CASTEiJ_G0008733","7",0,0,0,0,0,0,0,0,0,0
"Mir3102","ENSMUSG00000093296","7","MGP_CASTEiJ_G0008789","7",0,0,0,0,0,0,0,0,0,0
"Mir3103","ENSMUSG00000093215","7","MGP_CASTEiJ_G0008804","7",0,0,0,0,0,0,0,0,0,0
"Mir3104","ENSMUSG00000092652","7","MGP_CASTEiJ_G0008814","7",0,0,0,0,0,0,0,0,0,0
"Mir3105","ENSMUSG00000093221","7","MGP_CASTEiJ_G0008819","7",0,0,0,0,0,0,0,0,0,0
"Mir3106","ENSMUSG00000093142","8","MGP_CASTEiJ_G0008830","8",0,0,0,0,0,0,0,0,0,0
"Mir3107","ENSMUSG00000106471","8","MGP_CASTEiJ_G0008834","8",0,0,0,0,0,0,0,0,0,0
"Mir3108","ENSMUSG00000093241","8","MGP_CASTEiJ_G0008888","8",0,0,0,0,0,0,0,0,0,0
"Mir3109","ENSMUSG00000093042","9","MGP_CASTEiJ_G0008954","9",2,3,0,3,5,2,0,1,4,4
"Mir3112","ENSMUSG00000093172","X","MGP_CASTEiJ_G0009074","X",0,0,0,0,0,0,0,0,0,0
