"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","rpm_mouse_1_female_mat_bl6","rpm_mouse_2_female_mat_bl6","rpm_mouse_4_female_mat_bl6","rpm_mouse_7_male_mat_bl6","rpm_mouse_8_male_mat_bl6","rpm_mouse_1_female_pat_cast","rpm_mouse_2_female_pat_cast","rpm_mouse_4_female_pat_cast","rpm_mouse_7_male_pat_cast","rpm_mouse_8_male_pat_cast"
"Bmx","ENSMUSG00000031377","X","MGP_CASTEiJ_G0035211","X",0,0,0.400376353772546,0.264332435043608,0.245086025194843,0,0,0,0,0
"Brcc3","ENSMUSG00000031201","X","MGP_CASTEiJ_G0034825","X",20.7810663419886,20.920799277845,24.0225812263528,26.1689110693172,26.4692907210431,12.0351715854413,10.6486066298225,7.23503810563024,9.16034681704797,10.630394186828
"Brs3","ENSMUSG00000031130","X","MGP_CASTEiJ_G0034708","X",0,0,0,0,0,0,0,0,0,0
"Brwd3","ENSMUSG00000063663","X","MGP_CASTEiJ_G0034983","X",48.394264084083,62.504116360969,74.4700018016936,72.6914196369923,79.1627861379344,7.90882704186142,8.21463940014878,4.93298052656607,5.36985847895916,8.56337309494477
"Btk","ENSMUSG00000031264","X","MGP_CASTEiJ_G0035035","X",0,0,0,0,0,0,0,0,0,0
"C1galt1c1","ENSMUSG00000048970","X","MGP_CASTEiJ_G0034632","X",1.13868856668431,0.516562945131975,2.80263447640782,0.264332435043608,1.22543012597422,0,0,0,0,0
"C430049B03Rik","ENSMUSG00000087365","X","MGP_CASTEiJ_G0015092","X",0.569344283342153,1.03312589026395,0.400376353772546,0.528664870087217,0.490172050389687,0.343862045298323,0.912737711127642,1.97319221062643,0.315874028174068,0.590577454823778
"Cacna1f","ENSMUSG00000031142","X","MGP_CASTEiJ_G0034496","X",0,0,0,0.264332435043608,0.245086025194843,0,0,0,0,0
"Capn6","ENSMUSG00000067276","X","MGP_CASTEiJ_G0035123","X",1.99270499169754,1.29140736282994,2.00188176886273,2.37899191539247,5.14680652909171,0.687724090596645,0,1.31546147375095,0,1.77173236447133
"Car5b","ENSMUSG00000031373","X","MGP_CASTEiJ_G0035207","X",11.3868856668431,11.6226662654694,12.0112906131764,8.72297035643907,6.61732268026077,5.50179272477316,3.95519674821978,1.31546147375095,2.52699222539254,1.77173236447133
"Cask","ENSMUSG00000031012","X","MGP_CASTEiJ_G0034552","X",102.766643143259,93.7561745414535,113.306508117631,102.825317231964,101.71070045586,19.6001365820044,18.8632460299713,11.5102878953208,11.0555909860924,12.9927040061231
"Ccdc120","ENSMUSG00000031150","X","MGP_CASTEiJ_G0034505","X",105.328692418298,120.617447688316,104.097851980862,79.0353980780389,70.5847752561149,16.1615161290212,14.2995574743331,12.1680186321963,10.1079689015702,10.0398167320042
"Ccdc160","ENSMUSG00000073207","X","MGP_CASTEiJ_G0034681","X",0,0.516562945131975,0,0,0,0,0,0,0,0
"Ccdc22","ENSMUSG00000031143","X","MGP_CASTEiJ_G0034495","X",0,0,0,0,0,0,0,0,0,0
"Ccnb3","ENSMUSG00000051592","X","MGP_CASTEiJ_G0034489","X",0,0,0,0,0,0,0,0,0,0
"Cd40lg","ENSMUSG00000031132","X","MGP_CASTEiJ_G0034711","X",0,0,0,0,0.245086025194843,0,0,0,0,0
"Cd99l2","ENSMUSG00000035776","X","MGP_CASTEiJ_G0034748","X",83.1242653679544,77.4844417697963,94.4888194903209,80.3570602532569,76.9570119111808,5.84565477007149,7.30190168902113,4.93298052656607,2.84286625356661,2.06702109188322
"Cdk16","ENSMUSG00000031065","X","MGP_CASTEiJ_G0034574","X",56.9344283342153,72.0605308459106,70.4662382639681,65.2901114557712,60.7813342483212,13.4106197666346,10.9528525335317,9.53709568469441,6.63335459165543,6.79164073047344
"Cdkl5","ENSMUSG00000031292","X","MGP_CASTEiJ_G0035192","X",41.5621326839772,62.762397833535,44.4417752687526,21.6752596735759,25.4889466202637,5.50179272477316,10.3443607261133,9.86596105313215,3.47461430991475,3.83875345635455
"Cdr1","ENSMUSG00000090546","X","MGP_CASTEiJ_G0034724","X",0,0,0,0,0,0,0,0,0,0
"Cdx4","ENSMUSG00000031326","X","MGP_CASTEiJ_G0034945","X",0,0,0,0,0,0,0,0,0,0
"Cenpi","ENSMUSG00000031262","X","MGP_CASTEiJ_G0035030","X",0.569344283342153,0,0,0,0,0,0,0,0,0
"Cetn2","ENSMUSG00000031347","X","MGP_CASTEiJ_G0034761","X",4.8394264084083,5.42391092388574,7.60715072167838,6.3439784410466,4.41154845350718,1.37544818119329,1.82547542225528,0.986596105313215,0.631748056348136,2.36230981929511
