name,chr,Samp1_B6,Samp2_B6,Samp3_B6,Samp4_B6,Samp5_B6,Samp1_Cas,Samp2_Cas,Samp3_Cas,Samp4_Cas,Samp5_Cas
2640,Atp6ap1,X,0.853957595312342,1.29132598258931,10.0085753473576,0.528638459928147,1.22536195354065,1.03159393986701,0.304250161785024,1.64433819827233,0.315880014871631,0
2642,Atp6ap2,X,174.492001975489,176.136864025182,182.956757349697,176.829564845965,171.795745886399,11.3475333385372,14.2997576038961,10.5237644689429,14.2146006692234,14.4694296387072
2665,Atp7a,X,15.9405417791637,22.2108069005361,33.6288131671216,29.8680729859403,21.5663703823154,5.84569899257974,6.08500323570047,10.5237644689429,5.36996025281773,2.36235585938077
2683,Atrx,X,192.425111477048,200.672057694379,266.228104239713,230.750687758636,238.45543615901,48.828779820372,60.2415320334347,75.3106894808726,60.6489628553532,68.8036144044649
2697,AU015836,X,0.284652531770781,0,0.400343013894305,1.05727691985629,0.245072390708129,1.03159393986701,1.82550097071014,1.64433819827233,1.89528008922979,0
2728,Avpr2,X,0,0,0,0,0,0,0,0,0,0
2737,Awat1,X,0,0,0,0,0,0,0,0,0,0
2738,Awat2,X,0.569305063541561,1.03306078607145,1.60137205557722,2.11455383971259,1.22536195354065,0,0,0,0,0.295294482422596
2759,B230119M05Rik,X,0,0,0,0,0,0,0,0,0,0
2819,B630019K06Rik,X,23.9108126687456,19.3698897388396,18.415778639138,21.9384960870181,24.9973838522292,2.06318787973403,0.912750485355071,0.657735279308931,1.57940007435816,2.65765034180336
2938,BC065397,X,3.98513544479093,4.13224314428579,8.4072032917804,3.96478844946111,4.65637542345446,2.40705252635637,1.52125080892512,1.31547055861786,0.315880014871631,1.77176689453558
2945,Bcap31,X,126.670376637997,145.661570836074,117.300503071031,172.336137936576,173.756325012064,67.3974707379782,83.9730446526665,63.1425868136573,9.1605204312773,9.74471791994567
2984,Bcor,X,63.1928620531133,79.5456805275015,73.2627715426577,96.4765189368869,76.4625859009363,14.4423151581382,11.8657563096159,10.8526321085974,12.003440565122,15.6506075683976
2985,Bcorl1,X,14.8019316520806,13.4297902189288,12.0102904168291,10.0441307386348,9.80289562832517,1.03159393986701,3.04250161785024,2.30207347758126,1.57940007435816,1.77176689453558
3008,Bex1,X,3.70048291302015,1.54959117910717,1.20102904168291,17.4450691776289,15.194488223904,23.0389313236966,30.1207660167173,24.9939406137394,11.3716805353787,15.9459020508202
3009,Bex2,X,63.4775145848841,68.9568074702692,135.315938696275,141.939426490708,132.829235763806,8.59661616555845,6.69350355927052,16.4433819827233,13.5828406394801,15.355313085975
3010,Bex4,X,57.7844639494685,36.4153927090185,49.6425337228938,202.732849382445,169.835166760734,25.7898484966753,24.9485132663719,25.9805435327028,20.2163209517844,22.1470861816947
3016,Bgn,X,15.3712367156222,11.1054034502681,8.8075463056747,6.34366151913777,7.10709933053575,2.7509171729787,0.608500323570047,1.97320583792679,0.947640044614893,0
3019,Bhlhb9,X,13.0940164614559,15.4959117910717,23.2198948058697,13.7445999581318,17.4001397402772,1.71932323311169,3.65100194142028,1.31547055861786,0.947640044614893,0.885883447267788
3059,Bmp15,X,0,0,0,0,0,0,0,0,0,0
3074,Bmx,X,0,0,0.400343013894305,0.264319229964074,0.245072390708129,0,0,0,0,0
3118,Brcc3,X,20.779634819267,20.9194809179468,24.0205808336583,26.1676037664433,26.467818196478,12.0352626317818,10.6487556624758,7.23508807239824,9.1605204312773,10.6306013672135
3143,Brs3,X,0,0,0,0,0,0,0,0,0,0
3146,Brwd3,X,48.3909304010327,62.5001775573226,74.4638005843407,72.6877882401203,79.1583821987258,7.90888687231377,8.21475436819564,4.93301459481698,5.36996025281773,8.56353999025528
3176,Btk,X,0,0,0,0,0,0,0,0,0,0
3220,C1galt1c1,X,1.13861012708312,0.516530393035724,2.80240109726013,0.264319229964074,1.22536195354065,0,0,0,0,0
3270,C430049B03Rik,X,0.569305063541561,1.03306078607145,0.400343013894305,0.528638459928147,0.490144781416259,0.343864646622338,0.912750485355071,1.97320583792679,0.315880014871631,0.590588964845192
3317,Cacna1f,X,0,0,0,0.264319229964074,0.245072390708129,0,0,0,0,0
3409,Capn6,X,1.99256772239546,1.29132598258931,2.00171506947152,2.37887306967666,5.14652020487072,0.687729293244676,0,1.31547055861786,0,1.77176689453558
3434,Car5b,X,11.3861012708312,11.6219338433038,12.0102904168291,8.72253458881443,6.61695454911949,5.50183434595741,3.95525210320531,1.31547055861786,2.52704011897305,1.77176689453558
3458,Cask,X,102.759563969252,93.7502663359839,113.297072932088,102.820180456025,101.705042143874,19.6002848574733,18.8635100306715,11.5103673879063,11.0558005205071,12.9929572265942
3534,Ccdc120,X,105.321436755189,120.609846773842,104.089183612519,79.031449759258,70.5808485239412,16.1616383912499,14.2997576038961,12.1681026672152,10.1081604758922,10.0400124023683
3562,Ccdc160,X,0,0.516530393035724,0,0,0,0,0,0,0,0
3589,Ccdc22,X,0,0,0,0,0,0,0,0,0,0
3684,Ccnb3,X,0,0,0,0,0,0,0,0,0,0
3788,Cd40lg,X,0,0,0,0,0.245072390708129,0,0,0,0,0
3819,Cd99l2,X,83.118539277068,77.4795589553586,94.4809512790559,80.3530459090784,76.9527306823526,5.84569899257974,7.30200388284057,4.93301459481698,2.84292013384468,2.06706137695817
3901,Cdk16,X,56.9305063541561,72.0559898284835,70.4603704453976,65.2868498011262,60.7779528956161,13.4107212182712,10.9530058242608,9.53716154997949,6.63348031230425,6.79177309571971
3924,Cdkl5,X,41.559269638534,62.7584427538405,44.4380745422678,21.674176857054,25.4875286336455,5.50183434595741,10.3445055006908,9.86602918963396,3.47468016358794,3.83882827149375
3938,Cdr1,X,0,0,0,0,0,0,0,0,0,0
3950,Cdx4,X,0,0,0,0,0,0,0,0,0,0
3995,Cenpi,X,0.569305063541561,0,0,0,0,0,0,0,0,0
4071,Cetn2,X,4.83909304010327,5.4235691268751,7.60651726399179,6.34366151913777,4.41130303274633,1.37545858648935,1.82550097071014,0.986602918963396,0.631760029743262,2.36235585938077
4104,Cfp,X,4.83909304010327,8.00622109205372,4.80411616673166,5.55070382924555,4.90144781416259,0,1.52125080892512,1.64433819827233,1.89528008922979,1.47647241211298
4143,Chic1,X,5.40839810364483,0.774795589553586,1.60137205557722,1.85023460974852,1.22536195354065,0,0,0.657735279308931,0,0.295294482422596
4154,Chm,X,16.2251943109345,16.5289725771432,20.8178367225038,14.27323841806,14.2141986610715,2.40705252635637,2.73825145606521,1.97320583792679,0.631760029743262,1.18117792969038
4178,Chrdl1,X,0.284652531770781,0,0,0.264319229964074,0.245072390708129,0,0,0,0,0
4213,Chst7,X,1.13861012708312,1.29132598258931,0.800686027788609,0.264319229964074,0,0,0,0.328867639654465,0,0
4242,Cited1,X,0,0.516530393035724,0.400343013894305,0.528638459928147,1.22536195354065,0,0,0,0.315880014871631,0.590588964845192
4270,Clcn5,X,51.5221082505113,55.5270172513403,41.6356734450077,62.6436575014855,53.1807087836641,13.0668565716488,13.9955074421111,17.1011172620322,8.84464041640567,15.0600186035524
4286,Cldn2,X,1.4232626588539,0.774795589553586,0.400343013894305,1.05727691985629,3.43101346991381,0,0,0.328867639654465,0.315880014871631,0
4291,Cldn34a,X,0,0,0,0,0,0,0,0,0,0
4292,Cldn34b4,X,0,0,0,0,0,0,0,0,0,0
4293,Cldn34c4,X,0,0,0,0,0,0,0,0,0,0
4294,Cldn34d,X,0,0,0,0,0,0,0,0,0,0
4386,Cmc4,X,1.13861012708312,1.54959117910717,0.400343013894305,0,0.245072390708129,0,0,0,0,0
4410,Cnga2,X,0.853957595312342,0.516530393035724,1.60137205557722,1.32159614982037,0.735217172124388,0.687729293244676,0,0,0,0
4420,Cnksr2,X,0,0,0,0,0,0,0,0,0,0
4514,Col4a5,X,113.576360176541,137.913614940538,98.8847244318932,69.7802767105155,66.9047626633193,13.0668565716488,23.4272624574468,14.141308505142,8.21288038666241,8.56353999025528
4515,Col4a6,X,23.6261601369748,30.4752931891077,12.4106334307234,8.72253458881443,11.0282575818658,4.47024040609039,4.56375242677535,0.328867639654465,1.26352005948652,0.885883447267788
4606,Cox7b,X,0.853957595312342,0.774795589553586,3.20274411115444,0.792957689892221,1.22536195354065,0,0,0,0,0.295294482422596
4660,Cpxcr1,X,0,0,0,0,0,0,0,0,0,0
4805,Cstf2,X,4.26978797656171,6.71489510946441,8.00686027788609,7.40093843899407,5.39159259557885,0,0,0,0,0
4809,Ctag2,X,0,0,0,0,0,0,0,0,0,0
4840,Ctps2,X,55.2225911635315,58.109669216519,62.8538531814058,58.6788690520244,67.1498350540274,6.53342828582442,9.12750485355071,6.57735279308931,5.68584026768936,8.56353999025528
4884,Cul4b,X,1.99256772239546,2.58265196517862,2.80240109726013,7.66525766895814,10.2930404097414,12.7229919250265,8.51900452998066,6.57735279308931,2.21116010410142,3.54353378907115
4917,Cxcr3,X,0,0.258265196517862,0,0.264319229964074,0.245072390708129,0,0,0,0,0
4936,Cybb,X,0,0.258265196517862,0,0,0,0,0.608500323570047,0,0,0
