gene_id	gene_name	chromosome	count
MGP_CASTEiJ_G0039375		X	0
MGP_CASTEiJ_G0014249		X	0
MGP_CASTEiJ_G0035082	Esx1	X	0
MGP_CASTEiJ_G0014250		X	0
MGP_CASTEiJ_G0014251		X	0
MGP_CASTEiJ_G0038376	Gm23679	X	0
MGP_CASTEiJ_G0014252		X	0
MGP_CASTEiJ_G0035083	Il1rapl2	X	0
MGP_CASTEiJ_G0014253		X	0
MGP_CASTEiJ_G0009634	Gm25393	X	0
MGP_CASTEiJ_G0014254		X	0
MGP_CASTEiJ_G0009635	Gm24675	X	0
MGP_CASTEiJ_G0035084	Tex13a	X	0
MGP_CASTEiJ_G0037137	Gm22057	X	0
MGP_CASTEiJ_G0037138	Gm23958	X	0
MGP_CASTEiJ_G0014255		X	0
MGP_CASTEiJ_G0034561	Efhc2	X	0
MGP_CASTEiJ_G0014256		X	0
MGP_CASTEiJ_G0000157	Ighv1-16	X	0
MGP_CASTEiJ_G0000158	Ighv1-24	X	0
MGP_CASTEiJ_G0000250		X	0
MGP_CASTEiJ_G0000251		X	0
MGP_CASTEiJ_G0000252		X	0
MGP_CASTEiJ_G0035085	Nrk	X	0
MGP_CASTEiJ_G0035086	Serpina7	X	0
MGP_CASTEiJ_G0035087	4930513O06Rik	X	0
MGP_CASTEiJ_G0035088	4933428M09Rik	X	0
MGP_CASTEiJ_G0014257		X	0
MGP_CASTEiJ_G0035089	Mum1l1	X	5
MGP_CASTEiJ_G0015111	Platr21	X	0
MGP_CASTEiJ_G0014258		X	0
MGP_CASTEiJ_G0035090	Trap1a	X	0
MGP_CASTEiJ_G0014259		X	0
MGP_CASTEiJ_G0035091	D330045A20Rik	X	0
MGP_CASTEiJ_G0035092	Rnf128	X	0
MGP_CASTEiJ_G0009636	Gm24380	X	0
MGP_CASTEiJ_G0035093	Tbc1d8b	X	61
MGP_CASTEiJ_G0035094		X	9
MGP_CASTEiJ_G0013764		X	0
MGP_CASTEiJ_G0035095	Ripply1	X	0
MGP_CASTEiJ_G0014260		X	0
MGP_CASTEiJ_G0035096	Cldn2	X	1
MGP_CASTEiJ_G0035097	Morc4	X	43
MGP_CASTEiJ_G0035098	Rbm41	X	6
MGP_CASTEiJ_G0014261		X	0
MGP_CASTEiJ_G0035099	Nup62cl	X	0
MGP_CASTEiJ_G0035100	Pih1h3b	X	0
MGP_CASTEiJ_G0014262		X	0
MGP_CASTEiJ_G0007387	Gm15046	X	0
MGP_CASTEiJ_G0009079	Mir3475	X	0
MGP_CASTEiJ_G0035101	Frmpd3	X	0
MGP_CASTEiJ_G0037087	Gm22294	X	0
MGP_CASTEiJ_G0014263		X	0
MGP_CASTEiJ_G0035102	Prps1	X	30
MGP_CASTEiJ_G0035103	Tsc22d3	X	48
MGP_CASTEiJ_G0014264		X	0
MGP_CASTEiJ_G0009637	Gm22025	X	0
MGP_CASTEiJ_G0035104	Mid2	X	74
MGP_CASTEiJ_G0037139	Gm23199	X	0
MGP_CASTEiJ_G0007388	Eif2c5	X	0
MGP_CASTEiJ_G0014265		X	0
MGP_CASTEiJ_G0035105	Tex13	X	0
MGP_CASTEiJ_G0014266		X	0
MGP_CASTEiJ_G0035106	Vsig1	X	0
MGP_CASTEiJ_G0035107	Psmd10	X	6
MGP_CASTEiJ_G0035108		X	0
MGP_CASTEiJ_G0035109		X	0
MGP_CASTEiJ_G0035110	Col4a6	X	4
MGP_CASTEiJ_G0014267		X	0
MGP_CASTEiJ_G0014268		X	0
MGP_CASTEiJ_G0014269		X	0
MGP_CASTEiJ_G0035111	Col4a5	X	26
MGP_CASTEiJ_G0014270		X	0
MGP_CASTEiJ_G0014271		X	0
MGP_CASTEiJ_G0035112	Irs4	X	0
MGP_CASTEiJ_G0004611	Gm15295	X	0
MGP_CASTEiJ_G0014272		X	0
MGP_CASTEiJ_G0035113		X	0
MGP_CASTEiJ_G0014273		X	0
MGP_CASTEiJ_G0014274		X	0
MGP_CASTEiJ_G0014275		X	0
MGP_CASTEiJ_G0014276		X	0
MGP_CASTEiJ_G0014277		X	12
MGP_CASTEiJ_G0014278		X	0
MGP_CASTEiJ_G0014279		X	0
MGP_CASTEiJ_G0035114	Gucy2f	X	0
MGP_CASTEiJ_G0014280		X	7
MGP_CASTEiJ_G0014281		X	0
MGP_CASTEiJ_G0035115	Nxt2	X	10
MGP_CASTEiJ_G0035116	Kcne1l	X	0
MGP_CASTEiJ_G0035117	Acsl4	X	591
MGP_CASTEiJ_G0014282		X	0
MGP_CASTEiJ_G0014283		X	0
MGP_CASTEiJ_G0038377	Gm25915	X	0
MGP_CASTEiJ_G0014284		X	0
MGP_CASTEiJ_G0034562	Fundc1	X	0
MGP_CASTEiJ_G0014286		X	0
MGP_CASTEiJ_G0014285		X	10
MGP_CASTEiJ_G0035118	Tmem164	X	611
MGP_CASTEiJ_G0009080	Mir652	X	0
MGP_CASTEiJ_G0014287		X	0
MGP_CASTEiJ_G0035119	Ammecr1	X	7
